#Bulk Export - Points every 1 day(s),,
,,08364000
,,"Rio Grande At El Paso, Texas"
,,Discharge.Best Available
Start of Interval (UTC-07:00),End of Interval (UTC-07:00),Average (ft^3/s)
2012-03-31 00:00:00,2012-04-01 00:00:00,8.04
2012-04-01 00:00:00,2012-04-02 00:00:00,7.91
2012-04-02 00:00:00,2012-04-03 00:00:00,7.46
2012-04-03 00:00:00,2012-04-04 00:00:00,7.18
2012-04-04 00:00:00,2012-04-05 00:00:00,7.21
2012-04-05 00:00:00,2012-04-06 00:00:00,7.36
2012-04-06 00:00:00,2012-04-07 00:00:00,7.92
2012-04-07 00:00:00,2012-04-08 00:00:00,420.72
2012-04-08 00:00:00,2012-04-09 00:00:00,596.97
2012-04-09 00:00:00,2012-04-10 00:00:00,687.59
2012-04-10 00:00:00,2012-04-11 00:00:00,766.25
2012-04-11 00:00:00,2012-04-12 00:00:00,807.77
2012-04-12 00:00:00,2012-04-13 00:00:00,799.65
2012-04-13 00:00:00,2012-04-14 00:00:00,746.11
2012-04-14 00:00:00,2012-04-15 00:00:00,759.79
2012-04-15 00:00:00,2012-04-16 00:00:00,659.82
2012-04-16 00:00:00,2012-04-17 00:00:00,479.20
2012-04-17 00:00:00,2012-04-18 00:00:00,468.63
2012-04-18 00:00:00,2012-04-19 00:00:00,483.38
2012-04-19 00:00:00,2012-04-20 00:00:00,448.36
2012-04-20 00:00:00,2012-04-21 00:00:00,438.22
2012-04-21 00:00:00,2012-04-22 00:00:00,436.29
2012-04-22 00:00:00,2012-04-23 00:00:00,383.25
2012-04-23 00:00:00,2012-04-24 00:00:00,371.15
2012-04-24 00:00:00,2012-04-25 00:00:00,379.77
2012-04-25 00:00:00,2012-04-26 00:00:00,347.49
2012-04-26 00:00:00,2012-04-27 00:00:00,351.01
2012-04-27 00:00:00,2012-04-28 00:00:00,363.11
2012-04-28 00:00:00,2012-04-29 00:00:00,397.14
2012-04-29 00:00:00,2012-04-30 00:00:00,416.12
2012-04-30 00:00:00,2012-05-01 00:00:00,391.31
2012-05-01 00:00:00,2012-05-02 00:00:00,414.01
2012-05-02 00:00:00,2012-05-03 00:00:00,389.34
2012-05-03 00:00:00,2012-05-04 00:00:00,385.12
2012-05-04 00:00:00,2012-05-05 00:00:00,381.31
2012-05-05 00:00:00,2012-05-06 00:00:00,379.01
2012-05-06 00:00:00,2012-05-07 00:00:00,341.72
2012-05-07 00:00:00,2012-05-08 00:00:00,153.00
2012-05-08 00:00:00,2012-05-09 00:00:00,81.72
2012-05-09 00:00:00,2012-05-10 00:00:00,46.97
2012-05-10 00:00:00,2012-05-11 00:00:00,33.21
2012-05-11 00:00:00,2012-05-12 00:00:00,70.67
2012-05-12 00:00:00,2012-05-13 00:00:00,51.04
2012-05-13 00:00:00,2012-05-14 00:00:00,45.89
2012-05-14 00:00:00,2012-05-15 00:00:00,42.73
2012-05-15 00:00:00,2012-05-16 00:00:00,38.08
