abbrev,Date Time,DISCHRG Value,DISCHRG Units,DISCHRG Review Status,DISCHRG Observation Flag,DISCHRG Modified,
"RIOMILCO","=""06/22/1985 00:00""","1580","cfs","","","=""06/22/1985 23:45""",
"RIOMILCO","=""06/23/1985 00:00""","1450","cfs","","","=""06/23/1985 23:45""",
"RIOMILCO","=""06/24/1985 00:00""","1370","cfs","","","=""06/24/1985 23:45""",
"RIOMILCO","=""06/25/1985 00:00""","1420","cfs","","","=""06/25/1985 23:45""",
"RIOMILCO","=""06/26/1985 00:00""","1300","cfs","","","=""06/26/1985 23:45""",
"RIOMILCO","=""06/27/1985 00:00""","1100","cfs","","","=""06/27/1985 23:45""",
"RIOMILCO","=""06/28/1985 00:00""","1010","cfs","","","=""06/28/1985 23:45""",
"RIOMILCO","=""06/29/1985 00:00""","966","cfs","","","=""06/29/1985 23:45""",
"RIOMILCO","=""06/30/1985 00:00""","950","cfs","","","=""06/30/1985 23:45""",
"RIOMILCO","=""07/01/1985 00:00""","952","cfs","","","=""07/01/1985 23:45""",
"RIOMILCO","=""07/02/1985 00:00""","955","cfs","","","=""07/02/1985 23:45""",
"RIOMILCO","=""07/03/1985 00:00""","954","cfs","","","=""07/03/1985 23:45""",
"RIOMILCO","=""07/04/1985 00:00""","956","cfs","","","=""07/04/1985 23:45""",
"RIOMILCO","=""07/05/1985 00:00""","958","cfs","","","=""07/05/1985 23:45""",
"RIOMILCO","=""07/06/1985 00:00""","930","cfs","","","=""07/06/1985 23:45""",
"RIOMILCO","=""07/07/1985 00:00""","881","cfs","","","=""07/07/1985 23:45""",
"RIOMILCO","=""07/08/1985 00:00""","939","cfs","","","=""07/08/1985 23:45""",
"RIOMILCO","=""07/09/1985 00:00""","972","cfs","","","=""07/09/1985 23:45""",
"RIOMILCO","=""07/10/1985 00:00""","1010","cfs","","","=""07/10/1985 23:45""",
"RIOMILCO","=""07/11/1985 00:00""","1030","cfs","","","=""07/11/1985 23:45""",
"RIOMILCO","=""07/12/1985 00:00""","1020","cfs","","*","=""07/12/1985 23:45""",
"RIOMILCO","=""07/13/1985 00:00""","1020","cfs","","","=""07/13/1985 23:45""",
"RIOMILCO","=""07/14/1985 00:00""","1090","cfs","","","=""07/14/1985 23:45""",
"RIOMILCO","=""07/15/1985 00:00""","1040","cfs","","","=""07/15/1985 23:45""",
"RIOMILCO","=""07/16/1985 00:00""","993","cfs","","","=""07/16/1985 23:45""",
"RIOMILCO","=""07/17/1985 00:00""","846","cfs","","*","=""07/17/1985 23:45""",
"RIOMILCO","=""07/18/1985 00:00""","834","cfs","","","=""07/18/1985 23:45""",
"RIOMILCO","=""07/19/1985 00:00""","868","cfs","","*","=""07/19/1985 23:45""",
"RIOMILCO","=""07/20/1985 00:00""","941","cfs","","*","=""07/20/1985 23:45""",
"RIOMILCO","=""07/21/1985 00:00""","993","cfs","","*","=""07/21/1985 23:45""",
"RIOMILCO","=""07/22/1985 00:00""","921","cfs","","","=""07/22/1985 23:45""",
"RIOMILCO","=""07/23/1985 00:00""","802","cfs","","","=""07/23/1985 23:45""",
"RIOMILCO","=""07/24/1985 00:00""","663","cfs","","","=""07/24/1985 23:45""",
"RIOMILCO","=""07/25/1985 00:00""","557","cfs","","","=""07/25/1985 23:45""",
"RIOMILCO","=""07/26/1985 00:00""","519","cfs","","*","=""07/26/1985 23:45""",
"RIOMILCO","=""07/27/1985 00:00""","521","cfs","","","=""07/27/1985 23:45""",
"RIOMILCO","=""07/28/1985 00:00""","633","cfs","","","=""07/28/1985 23:45""",
"RIOMILCO","=""07/29/1985 00:00""","697","cfs","","","=""07/29/1985 23:45""",
"RIOMILCO","=""07/30/1985 00:00""","688","cfs","","","=""07/30/1985 23:45""",
"RIOMILCO","=""07/31/1985 00:00""","671","cfs","","","=""07/31/1985 23:45""",
"RIOMILCO","=""08/01/1985 00:00""","672","cfs","","","=""08/01/1985 23:45""",
"RIOMILCO","=""08/02/1985 00:00""","676","cfs","","","=""08/02/1985 23:45""",
"RIOMILCO","=""08/03/1985 00:00""","676","cfs","","","=""08/03/1985 23:45""",
"RIOMILCO","=""08/04/1985 00:00""","678","cfs","","","=""08/04/1985 23:45""",
"RIOMILCO","=""08/05/1985 00:00""","679","cfs","","","=""08/05/1985 23:45""",
"RIOMILCO","=""08/06/1985 00:00""","680","cfs","","","=""08/06/1985 23:45""",
"RIOMILCO","=""08/07/1985 00:00""","608","cfs","","","=""08/07/1985 23:45""",
"RIOMILCO","=""08/08/1985 00:00""","496","cfs","","","=""08/08/1985 23:45""",
"RIOMILCO","=""08/09/1985 00:00""","375","cfs","","*","=""08/09/1985 23:45""",
"RIOMILCO","=""08/10/1985 00:00""","256","cfs","","","=""08/10/1985 23:45""",
"RIOMILCO","=""08/11/1985 00:00""","228","cfs","","","=""08/11/1985 23:45""",
"RIOMILCO","=""08/12/1985 00:00""","230","cfs","","*","=""08/12/1985 23:45""",
"RIOMILCO","=""08/13/1985 00:00""","167","cfs","","","=""08/13/1985 23:45""",
"RIOMILCO","=""08/14/1985 00:00""","125","cfs","","*","=""08/14/1985 23:45""",
"RIOMILCO","=""08/15/1985 00:00""","125","cfs","","*","=""08/15/1985 23:45""",
"RIOMILCO","=""08/16/1985 00:00""","125","cfs","","","=""08/16/1985 23:45""",
"RIOMILCO","=""08/17/1985 00:00""","125","cfs","","","=""08/17/1985 23:45""",
"RIOMILCO","=""08/18/1985 00:00""","126","cfs","","","=""08/18/1985 23:45""",
"RIOMILCO","=""08/19/1985 00:00""","126","cfs","","*","=""08/19/1985 23:45""",
"RIOMILCO","=""08/20/1985 00:00""","126","cfs","","*","=""08/20/1985 23:45""",
"RIOMILCO","=""08/21/1985 00:00""","126","cfs","","","=""08/21/1985 23:45""",
"RIOMILCO","=""08/22/1985 00:00""","91.6","cfs","","*","=""08/22/1985 23:45""",
"RIOMILCO","=""08/23/1985 00:00""","62.7","cfs","","*","=""08/23/1985 23:45""",
"RIOMILCO","=""08/24/1985 00:00""","62.8","cfs","","*","=""08/24/1985 23:45""",
"RIOMILCO","=""08/25/1985 00:00""","62.8","cfs","","","=""08/25/1985 22:00""",
"RIOMILCO","=""08/26/1985 00:00""","62.9","cfs","","*","=""08/26/1985 23:45""",
"RIOMILCO","=""08/27/1985 00:00""","63","cfs","","","=""08/27/1985 23:45""",
"RIOMILCO","=""08/28/1985 00:00""","63","cfs","","","=""08/28/1985 23:45""",
"RIOMILCO","=""08/29/1985 00:00""","63.2","cfs","","","=""08/29/1985 23:45""",
"RIOMILCO","=""08/30/1985 00:00""","63.2","cfs","","","=""08/30/1985 23:45""",
"RIOMILCO","=""08/31/1985 00:00""","63.4","cfs","","*","=""08/31/1985 23:45""",
"RIOMILCO","=""09/01/1985 00:00""","63.5","cfs","","*","=""09/01/1985 23:45""",
"RIOMILCO","=""09/02/1985 00:00""","63.7","cfs","","","=""09/02/1985 23:45""",
"RIOMILCO","=""09/03/1985 00:00""","63.8","cfs","","","=""09/03/1985 23:45""",
"RIOMILCO","=""09/04/1985 00:00""","63.8","cfs","","","=""09/04/1985 23:45""",
"RIOMILCO","=""09/05/1985 00:00""","83.7","cfs","","","=""09/05/1985 23:45""",
"RIOMILCO","=""09/06/1985 00:00""","94.9","cfs","","","=""09/06/1985 23:45""",
"RIOMILCO","=""09/07/1985 00:00""","95","cfs","","*","=""09/07/1985 23:45""",
"RIOMILCO","=""09/08/1985 00:00""","","cfs","","","",
"RIOMILCO","=""09/09/1985 00:00""","95.2","cfs","","","=""09/09/1985 23:45""",
"RIOMILCO","=""09/10/1985 00:00""","95.3","cfs","","","=""09/10/1985 23:45""",
"RIOMILCO","=""09/11/1985 00:00""","95.8","cfs","","","=""09/11/1985 23:45""",
"RIOMILCO","=""09/12/1985 00:00""","95","cfs","","*","=""09/12/1985 23:45""",
"RIOMILCO","=""09/13/1985 00:00""","94.7","cfs","","","=""09/13/1985 23:45""",
"RIOMILCO","=""09/14/1985 00:00""","94.6","cfs","","","=""09/14/1985 23:45""",
"RIOMILCO","=""09/15/1985 00:00""","95.3","cfs","","*","=""09/15/1985 23:45""",
"RIOMILCO","=""09/16/1985 00:00""","95.7","cfs","","*","=""09/16/1985 23:45""",
"RIOMILCO","=""09/17/1985 00:00""","95.5","cfs","","*","=""09/17/1985 23:45""",
"RIOMILCO","=""09/18/1985 00:00""","109","cfs","","*","=""09/18/1985 23:45""",
